X,Y
-1.006796293492975947e+00,-7.269065699699703842e-01
3.599446997144445382e-01,-3.169639565755071331e-01
-1.008746000832700052e+00,-7.241304297484896235e-01
3.553290176741403794e-01,-3.171248615506519486e-01
-1.009445546995174192e+00,-7.212885789309662066e-01
-1.004177959159821887e+00,-7.220767050048566560e-01
-1.001659364284319675e+00,-7.234306222383222185e-01
-1.005096599730973317e+00,-7.191124906812627060e-01
-1.001203831520759646e+00,-7.170765592287524637e-01
-9.980619460488298067e-01,-7.200212192447835724e-01
-1.000115621721048509e+00,-7.192911369270008626e-01
-1.000854534336319546e+00,-7.158942627565141326e-01
-1.000273032253260475e+00,-7.160075250112366563e-01
-1.000876843069028910e+00,-7.147594171119970863e-01
-1.003811954330013689e+00,-7.136011949621288153e-01
-1.004506444084755090e+00,-7.148092544221271716e-01
-1.005722556004676083e+00,-7.161867909790130549e-01
-1.005524936689399018e+00,-7.148159462658733032e-01
-1.003787637974973723e+00,-7.180818062175851058e-01
-1.003114414033127400e+00,-7.148678186640788912e-01
-1.003161571142313635e+00,-7.080127925267847289e-01
-9.988712436891200586e-01,-7.126069161888359815e-01
-1.000351224839853836e+00,-7.146796285863248333e-01
-1.004466194826758585e+00,-7.179745116339062427e-01
-1.001975786712281602e+00,-7.157410903010061887e-01
-9.975528564562282652e-01,-7.182004778592285810e-01
-9.968900468048615959e-01,-7.170393538902115615e-01
3.751314198477370132e-01,-3.177514098096008155e-01
-1.000618998946719129e+00,-7.208240005449422227e-01
3.781989381844892417e-01,-3.203950884898676410e-01
-9.999735130399030059e-01,-7.238898723696322035e-01
3.790270304255743961e-01,-3.213849390708456433e-01
-1.000106007350506143e+00,-7.234595451243168718e-01
3.789203144023094438e-01,-3.206237925967347913e-01
-1.000819933577874687e+00,-7.252975053469974398e-01
3.779560239210107975e-01,-3.222752621601005507e-01
-1.006898269041982097e+00,-7.267059435390867961e-01
3.749268597011278237e-01,-3.271013070008176871e-01
-1.008601212309741424e+00,-7.281453910554764875e-01
3.695650535241348233e-01,-3.246785178953779938e-01
-1.013732996704316491e+00,-7.322076422354049097e-01
3.602569531410045878e-01,-3.322552344178200112e-01
-1.014956803297768495e+00,-7.331722302117855694e-01
3.636773850285613952e-01,-3.310900799836598574e-01
-1.014657334910791686e+00,-7.339285232894598998e-01
-1.015201973624261900e+00,-7.338919250681565920e-01
3.511873089939235859e-01,-3.379732440304032415e-01
-1.019912917048584333e+00,-7.294968523326323950e-01
-1.017630588706470496e+00,-7.285667531522331819e-01
-1.012514493740673593e+00,-7.260927738297762168e-01
-1.013498139136837395e+00,-7.232575893020347646e-01
-1.012236204107302306e+00,-7.193624514161091055e-01
-1.013347248870777761e+00,-7.175482179378696035e-01
-1.013350949157810543e+00,-7.180158485882842667e-01
-1.020746596870652834e+00,-7.159216404366404163e-01
-1.023808456318655136e+00,-7.123890995089134925e-01
-1.019003848929326050e+00,-7.148833543553256842e-01
-1.014552731759359450e+00,-7.173402285969330272e-01
-1.019778753693919571e+00,-7.128423622257413772e-01
-1.024081786944543548e+00,-7.187804286415603316e-01
-1.030001900981788454e+00,-7.207620915951332696e-01
-1.019843684193733502e+00,-7.272406626196316060e-01
-1.026078188882183717e+00,-7.243857818766759049e-01
-1.015887939764884118e+00,-7.232673411139035613e-01
-1.009851903354650915e+00,-7.185406441348218820e-01
-1.000415662431312525e+00,-7.200531617014467312e-01
-9.943112502743929326e-01,-7.268041776856446479e-01
-9.922834471448668259e-01,-7.235934717782170900e-01
-9.917161329488456412e-01,-7.277832569265431095e-01
-9.913227827867998609e-01,-7.307941354197351469e-01
-9.859397261075362184e-01,-7.306835465299008625e-01
-9.799075788217193050e-01,-7.352243550775137138e-01
-9.797804559311225070e-01,-7.397797411263319356e-01
-9.869787411750484685e-01,-7.408978762759970138e-01
